Kode;Kodetekst 
A23;Familiær sykdomsbelastning IKA
A23;Tidligere sykdommer
A23;Utsatt for smitte
A25;Engstelig for døden
A26;Engstelig for kreft IKA
A27;Engstelig for sykdom IKA
A27;Engstelig for helseskade
A27;Engstelig for smitte
A28;Redusert funksjonsevne IKA
A28;Behov for aspirator/sug
A28;Behov for forstøverapparat
A28;Behov for hjelp i hjemmet
A28;Behov for hjelp til ADL aktiviteter
A28;Behov for hjelp til medisinering
A28;Behov for institusjonsplass
A28;Behov for pleie-/omsorgstilbud
A28;Behov for pleiepersonale INA
A28;Behov for rullestol
A28;Behov for surstoffapparat
A28;Behov for syketransport
A28;Behov for teknisk hjelpemiddel IKA
A28;Behov for teknisk hjelpemiddel INA
A28;Behov for tilsyn døgnkontinuerlig
A28;Funksjonshemning INA
A29;Generelle symptomer/plager IKA
A29;Døsighet
A29;Falle/klappe sammen INA
A29;Falle/klappe sammen
A29;Hypotermi IKA
A29;Smerte uspesifiserbar
A29;Sykdomsfølelse uspesifisert
A29;Symptomer uspesifiserbare
A29;Klossethet
A70;Tuberkulose
A70;Følgetilstand etter tuberkulose
A70;Følgetilstand tuberkulose
A70;Lungetuberkulose
A70;Lupus vulgaris
A70;Miliærtuberkulose
A70;Nyretuberkulose
A70;Tuberkulose i ben og ledd
A70;Tuberkulose i luftveier INA
A70;Tuberkulose i nervesystemet INA
A70;Tuberkuloseinfeksjon uansett lokalisasjon
A71;Meslinger
A71;Meslinger med komplikasjoner
A71;Morbilli
A71;Følgetilstand etter meslinger
A72;Vannkopper
A72;Vannkopper med komplikasjoner
A72;Varicella
A72;Følgetilstand etter vannkopper test
A73;Malaria
A73;Malaria med komplikasjoner
A74;Røde hunder
A74;Rubella
A74;Røde hunder med komplikasjoner
A75;Mononukleose
A75;Kjertelfeber
A75;Kyssesyke
A75;Pfeiffers sykdom
A76;Virussykdom med utslett IKA
A76;Roseola infantum
A76;Sjette barnesykdom
A76;Viruseksantem INA
A76;Virusenantem INA
A76;Enteroviral exanthema
A76;Erythema infectiosum /Femte barnesykdom
A76;Erythema infectiosum
A76;Exanthema subitum
A76;Feber med utslett INA
A76;Feber med utslett
A76;Femte barnesykdom
A76;HMF (hand, mouth and foot disease)
A76;Hånd-munn-og-fot-syke
A76;Kopper
A76;Kukopper
A76;Munn- og klovsyke
A76;Orfvirussykdom
A76;Orthopoxvirusinfeksjon IKA
A76;Pseudokukopper
A77;Virussykdom IKA
A77;Adenovirusinfeksjon
A77;Bornholm-syke
A77;Coxsackievirusinfeksjon
A77;Coxsackievirusinfeksjoner
A77;Cytomegalovirusinfeksjon
A77;Denguefeber
A77;Enterovirusinfeksjon
A77;Epidemisk myalgi
A77;Gulfeber
A77;Hemoragisk feber
A77;Herpesvirussepsis
A77;Myalgia epidemica
A77;Nephropatia epidemica
A77;Rabies
A77;Ross River-feber
A77;Ross River-sykdom
A77;Virussykdom antropodeoverført
A77;Virussykdom myggoverført
A77;Virussykdom uten utslett IKA
A78;Infeksjonssykdom IKA
A78;Aktinomykose
A78;Anthrax
A78;Bakterieinfeksjon uspesifisert
A78;Bakteriell zoonose
A78;Bartonellose
A78;Binyresyndrom med meningokokker
A78;Blastomykose
A78;Borreliose
A78;Brucellose
A78;Candidaenteritt
A78;Candidainfeksjon endetarm
A78;Candidainfeksjon INA
A78;Candidasepsis
A78;Chagas sykdom akutt INA
A78;Chagas sykdom kronisk INA
A78;Clamydia psittaci infeksjon
A78;ECM (erythema chronicum migrans)
A78;EM (erythema migrans)
A78;Erysipeloid
A78;Erythema chronicum migrans
A78;Febris recurrens
A78;Flekkfeber
A78;Flekktyfus
A78;Følgetilstand etter infeksjonssykdom
A78;Følgetilstand etter lepra
A78;Gassgangren
A78;Histoplasmose
A78;Kjønnssykdom IKA
A78;Kjønnssykdom INA
A78;Klamydiainfeksjon uspesifisert
A78;Koksidioidomykose
A78;Kromomykose
A78;Kryptokokkose
A78;Legionærsykdom uten pneumoni
A78;Leishmaniasis
A78;Lepra
A78;Leptospirose
A78;Listeriose
A78;Lyme-sykdom
A78;Melioidose
A78;Meningokokkencefalitt
A78;Meningokokksykdom INA
A78;Miltbrann
A78;Mycetom
A78;Mykobakterieinfeksjon
A78;Mykoplasma
A78;Mykoplasmainfeksjon INA
A78;Nokardiose
A78;Ornitose
A78;Papegøyesyke
A78;Parakoksidioidomykose
A78;Parasittsykdom INA
A78;Pest
A78;Pneumocystose
A78;Protozosykdom INA
A78;Q-feber
A78;Rickettsiainfeksjon
A78;Rickettsiainfeksjoner
A78;Rottebittfeber
A78;Scarlatina
A78;Sepsis IKA
A78;Skarlagensfeber
A78;Soppsykdom IKA
A78;Soppsykdom INA
A78;Sovesyke
A78;Spiroketinfeksjon
A78;Sporotrikose
A78;Stafylokokkinfeksjon INA
A78;Streptokokkinfeksjon INA
A78;Streptokokksepsis
A78;Tilbakefallsfeber
A78;Toxoplasmose uspesifisert
A78;Toxoplasmose
A78;Trikomonasinfeksjon IKA
A78;Trypanosomiasis
A78;Tularemi
A78;Venerisk sykdom INA
A78;Zygomykose
A78;Infeksjon uten angitt lokalisasjon
A78;Trøske IKA
A79;Ondartet svulst IKA
A79;Ascites ondartet
A79;Carcinoma in situ INA
A79;Kaposis sarkom
A79;Karsinomatose
A79;Mesoteliom INA
A79;Metastase abdomen
A79;Metastase hjerne
A79;Metastase IKA
A79;Metastase lever
A79;Metastase luftveier
A79;Metastase lunge
A79;Metastase nyre/nyrebekken
A79;Metastase skjelettet
A79;Metastase ukjent primærlokalisasjon
A79;Metastase/sekundær svulst når utgangspunkt er ukjent
A79;Ondartet svulst ukjent primærlokalisasjon
A80;Skade/traume IKA
A80;Amputasjon traumatisk INA
A80;Knusningsskade buk/bekken
A80;Knusningsskade INA
A80;Skade bekken indre organ
A80;Skade blodkar ankel/fot
A80;Skade blodkar brystkassen
A80;Skade blodkar buk/bekken
A80;Skade blodkar hals
A80;Skade blodkar hofte/lår
A80;Skade blodkar hånd/håndledd
A80;Skade blodkar legg
A80;Skade blodkar skulder/overarm
A80;Skade blodkar traumatisk
A80;Skade blodkar underarm
A80;Skade buk/bekken INA
A80;Skade genitalia INA (K)
A80;Skade hjerte INA
A80;Skade ryggmargen INA
A80;Skade trafikkulykke
A80;Skade trunkus INA
A80;Skade trunkus muskel-skjelettsystemet INA
A80;Skade underliv flere organer (K)
A80;Skade urinveier INA
A80;Skade uspesifisert
A80;Tverrsnittslesjon ryggmarg
A80;Åpent sår brystkassen
A80;Åpent sår hals
A80;Veitrafikkulykke
A81;Multiple skader/traumer
A81;Amputasjon traumatisk flere
A81;Brannskade flere regioner
A81;Brudd flere
A81;Brudd multiple/flere kroppsdeler
A81;Dislokasjon flere ledd
A81;Etseskade flere regioner
A81;Forstuving/forstrekking flere ledd
A81;Knusningsskade flere steder
A81;Multiple indre skader IKA
A81;Overflateskade flere
A81;Skade abdomen flere indre organer
A81;Skade bekken flere indre organer
A81;Skade buk/bekken flere organer
A81;Skade flere INA
A81;Skade flere trafikkulykke
A81;Åpent sår buk/bekken flere
A81;Åpent sår flere
A82;Følgetilstand etter skade/traume
A82;Anuri traumatisk
A82;Blødning sekundær traumatisk
A82;Fettemboli traumatisk
A82;Følgetilstand brannskade
A82;Følgetilstand brudd ankel
A82;Følgetilstand brudd ansikt
A82;Følgetilstand brudd arm
A82;Følgetilstand brudd bekken
A82;Følgetilstand brudd hånd/håndledd
A82;Følgetilstand brudd INA
A82;Følgetilstand brudd legg
A82;Følgetilstand brudd lårben
A82;Følgetilstand brudd ryggsøyle
A82;Følgetilstand brudd skalle
A82;Følgetilstand brudd toraks
A82;Følgetilstand etseskade
A82;Følgetilstand frostskade
A82;Følgetilstand hodeskade
A82;Følgetilstand kirurgisk/medisinsk behandling
A82;Følgetilstand nakkeslengskade
A82;Følgetilstand nerveskade
A82;Følgetilstand overflateskade
A82;Følgetilstand ryggmargsskade
A82;Følgetilstand skade overekstremitet
A82;Følgetilstand skade underekstremitet
A82;Følgetilstand traume/skade INA
A82;Følgetilstand åpent sår
A82;Luftemboli traumatisk
A82;Nakkeslengsyndrom langvarig/kronisk
A82;Sjokk traumatisk
A82;Amputasjon pga skade
A82;Misdannelse/arrdannelse som følge av tidligere skade
A84;Legemiddelforgiftning
A84;Intoksikasjon legemiddel
A84;Legemiddel overdose
A84;Toksisk virkning av overdose legemiddel
A85;Bivirkning av legemiddel
A85;Anafylaktisk sjokk legemiddelbivirk
A85;Bivirkning legemiddel allergi
A85;Bivirkning legemiddel aplastisk anemi
A85;Bivirkning legemiddel hodepine
A85;Bivirkning legemiddel hudutslett lokalt
A85;Bivirkning legemiddel hudutslett
A85;Bivirkning legemiddel hypotensjon
A85;Bivirkning legemiddel idiosynkrasi
A85;Bivirkning legemiddel overfølsomhet
A85;Bivirkninger/allergi/anafylaksi av legemiddel gitt i korrekt dose
A85;Legemiddelhypersensivitet INA
A85;Legemiddelreaksjon INA
A86;Toksisk virkning av ikke-medisinsk stoff
A86;Forgiftning INA
A86;Generell/lokal giftig effekt av kullos/karbonmonoksid
A86;Giftige dyr/insekter/planter/slanger
A86;Toksisk virkning aflatoksin/mykotoksin
A86;Toksisk virkning alkohol
A86;Toksisk virkning bly
A86;Toksisk virkning bær
A86;Toksisk virkning dyregift IKA
A86;Toksisk virkning etsende stoff
A86;Toksisk virkning gass/damp
A86;Toksisk virkning huggormbitt
A86;Toksisk virkning karbonmonoksid
A86;Toksisk virkning kjemikalier INA
A86;Toksisk virkning løsemiddel
A86;Toksisk virkning metall
A86;Toksisk virkning pesticid
A86;Toksisk virkning plante
A86;Toksisk virkning renholdsmiddel
A86;Toksisk virkning røyk
A86;Toksisk virkning sjømat/fisk
A86;Toksisk virkning sopp
A86;Toksisk virkning stoff INA
A86;Tungmetaller
A86;Eksponeringer i arbeidslivet
A87;Komplikasjon etter medisinsk behandling
A87;Abscess operasjonssår
A87;Adheranser bukhinne komplikasjon
A87;Amputasjon senfølger
A87;Anestesisjokk
A87;Binyresvikt etter behandling
A87;Blødning postoperativ
A87;Brokk etter operasjon
A87;Eggstokksvikt etter behandling
A87;Endokrin/metabolsk svikt etter behandling
A87;Episiotomi sårruptur
A87;Episiotomi/perinealsutur sårinfeksjon
A87;Fistel postoperativ vedvarende
A87;Funksjonssvikt/avstøting transplantat
A87;Graft versus host disease
A87;GVHD (graft versus host disease)
A87;Hypoinsulinemi etter behandling
A87;Hypoparatyreoidisme etter behandling
A87;Hypopituitarisme etter behandling
A87;Hypotyreose etter behandling
A87;Hypotyreose etter bestråling
A87;Hypotyreose postoperativ
A87;Keisersnitt sårinfeksjon
A87;Komplikasjon etter kirurgi IKA
A87;Komplikasjon etter røntgen
A87;Komplikasjon infusjon/injeksjon
A87;Komplikasjon medisinsk behandling
A87;Komplikasjoner nervesystemet etter behandling
A87;Komplikasjoner spinalpunksjon
A87;Komplikasjoner ved anestesi IKA
A87;Komplikasjoner ved vaksinering
A87;Komplikasjoner øre etter behandling
A87;Komplikasjoner øye etter behandling
A87;Lymfødem etter mastektomi
A87;Muskel-skjelettplager etter behandling
A87;Perinealrift
A87;Postoperativ infeksjon/blødning/sårkomplikasjon
A87;Post-operativt lymfødem
A87;Reaksjon ved vaksine/transfusjon
A87;Ruptur obstetrisk sår perineum
A87;Ruptur operasjonssår
A87;Røntgenbivirkning
A87;Sårinfeksjon postoperativ
A87;Sårruptur episiotomi
A87;Sårruptur etter keisersnitt
A87;Testikkelsvikt etter behandling
A87;Tromboflebitt etter injeksjon/infusjon
A87;Urinveisplager etter behandling
A87;Problem på grunn av stråling ved diagnose/behandling
A88;Skadevirkning av fysisk faktor
A88;Asfyksi traumatisk
A88;Bevegelsessyke
A88;Bilsyke
A88;Bivirkning av høydeopphold
A88;Drukning
A88;Dykkersyke
A88;Flysyke
A88;Frostbitt
A88;Frostknuter
A88;Frostskade flere steder
A88;Frostskade med vevsnekrose
A88;Frostskade overfladisk
A88;Heteslag
A88;Hypotermi ved ulykke
A88;Høydesyke
A88;Kvelning
A88;Lynnedslag skade
A88;Nedkjølt
A88;Nestendrukning
A88;Reisesyke
A88;Sjokk elektrisk
A88;Sjokk lynnedslag
A88;Sjøsyke
A88;Solstikk
A88;Strålesykdom
A88;Strålingsskade
A88;Trykkfallsyke
A88;Trykkskade INA
A88;Utmattet overanstrengelse fysisk
A88;Utmattet pga matmangel/sult
A88;Utmattet pga tørste/vannmangel
A88;Vibrasjonsskade
A88;Effekt av kulde/varm/lyn/bevegelse/trykk/stråling
A88;Jet lag
A89;Komplikasjoner/problemer med protese
A89;Blodkarimplantat problemer
A89;Blodkartransplantat problemer
A89;Cystostomi
A89;Hjelpemiddel tilpasning/justering INA
A89;Hjerteklaffprotese problemer
A89;Høreapparat tilpasning/justering
A89;Kontroll implantert hjelpemiddel
A89;Kontroll pacemaker eller defibrillator
A89;Kontroll stomi/kunstig åpning
A89;Koronararteriebypass problemer
A89;Leddprotese problemer
A89;Protese tilpasning/justering
A89;Protese/implantat problemer IKA
A89;Transplantat problemer IKA
A89;Ureterostomi
A89;Uretrostomi
A89;Urinveisimplantat problemer
A89;Urinveiskateter problemer
A89;Gastrostomi
A89;Innoperert hjerteklaff
A89;Kolostomi
A89;Komplikasjoner, plager og begrensninger som skyldes bruk av protese
A89;Leddprotese
A89;Organtransplantat
A89;Pacemaker
A90;Medfødt feil IKA/multiple medfødte feil
A90;Downs syndrom
A90;FAS (føtalt alkoholsyndrom)
A90;Fragilt X-kromosom
A90;Føtalt alkoholsyndrom
A90;Klinefelters syndrom
A90;Kromosomavvik IKA
A90;Kromosomfeil syndrom
A90;Marfans syndrom
A90;Medfødt feil misdannelser IKA
A90;Medfødt feil misdannelsessyndrom IKA
A90;Medfødt feil multiple INA
A90;Medfødt feil tvillinger sammenvokst
A90;Nevrofibromatose
A90;Prader-Willis syndrom
A90;Situs inversus
A90;Sotos syndrom
A90;Trisomi 13 INA
A90;Trisomi 18 INA
A90;Trisomi 21 INA
A90;Tuberøs sklerose
A90;Turners syndrom
A90;VATER-syndrom
A90;Von Recklinghausens sykdom
A90;Kromosomavvik og andre medfødte misdannelser, ikke klassfisiert annet sted
A91;Unormalt resultat ved undersøkelse IKA
A91;Antistofftiter unormalt
A91;Diabetes latent
A91;Glukosebelastningsprøve unormal
A91;Glukosetoleranse nedsatt
A91;Hyperglykemi INA
A91;Immunglobulin forhøyet
A91;Mantoux test unormal
A91;Pirquet prøve unormal
A91;Plasmaprotein unormalt
A91;Serumenzymnivå unormalt
A91;Unormale funn ved ultralyd IKA
A91;Unormalt funn billeddiagnostikk IKA
A91;Unormalt funn blodprøve IKA
A91;Unormalt funn ved funksjonsundersøkelse IKA
A91;Unormalt funn ved røntgen IKA
A91;Elektrolyttforstyrrelse
A91;protein i plasma
A91;enzym
A91;Hyperglykemi
A91;Uforklarte patologiske prøver/unormale bilder
A92;Allergi/allergisk reaksjon IKA
A92;ADCC (antibody dependent cell-mediated cytotoxicity)
A92;Allergi uspesifisert
A92;Anafylaktisk sjokk INA
A92;Anafylaktisk sjokk matvarer
A92;Angionevrotisk ødem
A92;Matallergi IKA
A92;Allergisk ødem
A92;Anafylaktisk sjokk
A92;Matallergi
A93;Prematurt/immaturt født barn
A93;For tidlig født barn (28-36 uker)
A93;Fødselsvekt lav (1-2.5 kg)
A93;Fødselsvekt meget lav (<1 kg)
A93;Immaturt barn (<28 uker)
A93;Prematurt barn (28-36 uker)
A93;Født i eller før uke 36
A93;Lav fødselsvekt < 2,5 kg
A94;Perinatal sykelighet IKA
A94;Asfyksi fødsel
A94;Aspirasjonssyndrom nyfødt
A94;BPD (bronkopulmonal dysplasi)
A94;Bronkopulmonal dysplasi
A94;Dehydrering nyfødt
A94;Feber nyfødt
A94;Fostervekst langsom
A94;Fødselskade
A94;Fødselsvekt høy (>4500 g)
A94;Gulsott hos nyfødt
A94;Hemolytisk sykdom hos nyfødt
A94;Hypotermi nyfødt
A94;Ikterus hos nyfødt
A94;IUGR (intrauterine growth retardation)
A94;Konjunktivitt hos nyfødt
A94;LFD (large-for-date)
A94;Mat/ammeproblemer nyfødt
A94;Medfødt infeksjonssykdom INA
A94;Medfødt virussykdom nyfødt
A94;Mekoniumileus
A94;Mekoniumpluggsyndrom
A94;NEC (nekrotiserende enterokolitt)
A94;Omfalitt
A94;Postmaturitet INA
A94;Respirasjonsbesvær nyfødt
A94;Rubella medfødt
A94;Sepsis nyfødt
A94;SGA (small for gestational age)
A94;Skade foster/nyfødt svangerskapet
A94;TORCH (toxoplasmose, rubella, CMV, herpes)
A95;Perinatal død
A95;Dødfødsel INA
A95;Dødfødt foster INA
A95;Fosterdød INA
A95;Krybbedødsyndrom nyfødt
A95;SIDS (sudden infant death syndrome)
A96;Død/dødsfall IKA
A96;Dødsfall ukjent årsak
A96;Dødsfall uventet
A96;Funnet død
A96;Krybbedødsyndrom
A96;Mors subita
A96;Plutselig død
A97;Kontakt/undersøkelse for administrativt formål
A97;Attest/undersøkelse arbeidsuførhet
A97;Attest/undersøkelse forsikring
A97;Attest/undersøkelse førerkort
A97;Attest/undersøkelse helbred INA
A97;Attest/undersøkelse invaliditet
A97;Attest/undersøkelse oppholdstillatelse
A97;Attest/undersøkelse ved adopsjon
A97;Attest/undersøkelse ved ansettelse
A97;Attest/undersøkelse ved skoleopptak
A97;Dødsattest
A97;Førerkortattest
A97;Generell psykiatrisk undersøkelse IKA
A97;Helbredsattest
A97;Helseattest generell
A97;Helsesjekk generell
A97;Helseundersøkelse barnekontroll
A97;Helseundersøkelse flyktingemottak
A97;Helseundersøkelse generell
A97;Helseundersøkelse idrettsdeltager
A97;Helseundersøkelse sesjon
A97;Helseundersøkelse ved fengsling
A97;Kontaktårsak uspesifisert
A97;Kontakt for annet enn sykdom, psykiske og sosiale årsaker
A97;Krav om legeundersøkelse i instuks, regelverk
A98;Individforebyggende tiltak
A98;Allergi utredning/testing
A98;Antibiotika forebyggende
A98;Bakteriesykdom vaksine IKA
A98;BCG vaksine
A98;Bedriftshelsetjenestekontroll
A98;Difteri vaksine (alene)
A98;DT vaksine
A98;DTP vaksine
A98;Familieplanlegging genetisk veiledning
A98;Forebyggende kirurgi
A98;Forebyggende kontroll blodtrykk
A98;Forebyggende kontroll hørsel/ører
A98;Forebyggende kontroll høyde/vekt
A98;Forebyggende kontroll kolesterol
A98;Forebyggende kontroll mamma
A98;Forebyggende kontroll syn/øyne
A98;Forebyggende kontroll tenner
A98;Forebyggende undersøkelse INA
A98;Gammaglobulin forebyggende
A98;Genetisk veiledning
A98;Gulfeber vaksine
A98;Helseopplysning forebyggende
A98;Helseundersøkelse ansatte
A98;Helseundersøkelse idrettsutøver
A98;Helseundersøkelse innsatte
A98;Helseundersøkelse skolebarn
A98;Helseundersøkelse soldater
A98;Immunisering utenlandsreise
A98;Immunterapi forebyggende
A98;Influensa vaksine
A98;Kikhoste vaksine (alene)
A98;Kjemoprofylakse
A98;Kolera vaksine
A98;Kusma vaksine (alene)
A98;Malaria profylakse
A98;Mammografi screening
A98;Meningokokk vaksine
A98;Meslinger vaksine (alene)
A98;MMR vaksine
A98;Målrettet undersøkelse INA
A98;Målrettet undersøkelse infeksjon
A98;Målrettet undersøkelse på svulst
A98;Osteoporose screening
A98;Pest vaksine
A98;Pneumokokk vaksine
A98;Poliomyelitt vaksine
A98;Rabies vaksine
A98;Reisevaksinering/immunisering
A98;Rubella vaksine (alene)
A98;Rådgivning seksuelt problem
A98;Screeningundersøkelse blodprøve
A98;Screeningundersøkelse INA
A98;Seksualopplysning/undervisning
A98;Skjermbildeundersøkelse
A98;Skolehelsetjenestekontroll
A98;Stivkrampe vaksine (alene)
A98;TAB vaksine
A98;Tularemi vaksine
A98;Undersøkelse gynekologisk rutine
A98;Vaksinasjonsprogram barn
A98;Vaksine forebyggende INA
A98;Varicella vaksine
A98;Virushepatitt vaksine
A98;Virussykdom vaksine IKA
A98;Forebyggende undersøkelse etter fastlagt program
A98;Genetisk rådgivning
A98;Medisisnk prosedyre/rådgivning med en forebyggende hensikt
A98;Screening/periodisk undersøkelse rettet mot bestemte helseproblemer
A981;Livmorhalsprøve
A981;Screening livmorhals
A981;Cytologi livmorhals screening
A99;Helseproblem/sykdom ikke spesifisert/lokalisert
A99;Attføring tiltak/planlegging
A99;Begjæring sakkyndig uttalelse
A99;Blodprøvetaking alkohol
A99;Blodprøvetaking legemiddelsjekk
A99;Bærer av infeksjonssykdom IKA
A99;Diettveiledning
A99;Dopingkontroll
A99;Fysikalsk behandling/rehabilitering
A99;Godartet svulst IKA INA
A99;Godartet svulst intratorakalt INA
A99;Observasjon mistanke forsinket utvikling
A99;Observasjon mistanke hjerte-karsykdom
A99;Observasjon mistanke medfødt sykdom
A99;Observasjon mistanke nevrologisk sykdom
A99;Observasjon mistanke om infeksjon
A99;Observasjon mistanke om svulst
A99;Observasjon mistanke om sykdom
A99;Observasjon mistanke psykisk sykdom
A99;Opplysning om undersøkelsesresultat
A99;Promillekontroll
A99;Rehabilitering ADL trening
A99;Rehabilitering alkoholiker
A99;Rehabilitering hjertesykdom
A99;Rehabilitering logopedi
A99;Rehabilitering ortoptisk trening
A99;Rehabilitering psykoterapeutisk
A99;Rehabilitering stoffmisbruker
A99;Rehabilitering yrkesrettet
A99;Rehabilitering
A99;Rådgivning legemiddelmisbruk
A99;Rådgivning om kosthold
A99;Rådgivning om røykeslutt
A99;Rådgivning til smittebærer
A99;Rådgivning ved alkoholmisbruk
A99;Rådgivning/veiledning INA
A99;Smittebærer INA
A99;Sykdom INA
A99;Tvungen psykiatrisk undersøkelse
A99;Undersøkelse etter arbeidsulykke
A99;Undersøkelse etter trafikkulykke
A99;Undersøkelse etter ulykke IKA
A99;Undersøkelse ved vold/mishandling
A99;Undersøkelse ved voldtekt
A99;Uspesifisert svulst IKA
A99;Oppfølging av problemer IKA
A99;Sykdomsbærer
B02;Lymfeknuter forstørrede/smertefulle
B02;Lymfadenopati INA
B02;Lymfeknute forstørret INA
B02;Lymfeknuter forstørret generalisert
B02;Lymfeknuter forstørret lokalisert
B02;Andre symptomer/plager lymfeknuter
B02;Lymfadenopati med og uten smerter/ømhet
B04;Blod/blodsystemet symptomer/plager
B04;Blod symptomer IKA
B04;Bloddannende organer symptomer IKA
B25;Engstelig for hiv/aids
B26;Engstelig for kreft i blod- og lymfesystemet
B26;Engstelig for kreft i blodsystemet
B26;Engstelig for kreft i lymfesystemet
B26;Engstelig for leukemi
B27;Engstelig for sykdom i blod- og lymfesystemet IKA
B28;Redusert funksjonsevne pga blod/lymfe-problem
B28;Redusert funksjonsevne blodsykdom
B28;Redusert funksjonsevne lymfesykdom
B28;Funksjonshemning pga blødersykdommer
B29;Blod/lymfesystem symptomer/plager IKA
B29;Blod symptomer/plager IKA
B29;Lymfesystem symptom/plager IKA
B29;Milt hold/sting
B29;Milt symptomer/plager IKA
B70;Lymfadenitt akutt
B70;Lymfadenitt med abscess
B70;Lymfeknute med abscess
B70;Lymfeknuteabcess
B71;Lymfadenitt kronisk/uspesifikk
B71;Infeksiøs adenitt IKA
B71;Lymfadenitt IKA
B71;Lymfadenitt INA
B71;Lymfadenitt kronisk IKA
B71;Lymfadenitt mesenterium
B71;Lymfadenitt i mesenteriet
B72;Hodgkins sykdom/lymfom
B72;Burkitts lymfom
B72;Hodgkins lymfogranulomatose
B72;Hodgkins sykdom
B72;Malignt lymfom Hodgkin
B72;Malignt lymfom INA
B72;Mucosis fungoides
B72;Non-Hodgkin lymfom
B72;Ondartet svulst Hodgkin
B72;T/NK-cellelymfom
B72;Hodgkin
B72;Burkitt
B72;Non-Hodgkins
B72;Hodgins
B73;Leukemi
B73;ALL (akutt lymfatisk leukemi)
B73;AML (akutt myelogen leukemi)
B73;ATL (adult T-celleleukemi/lymfom)
B73;KLL (kronisk lymfatisk leukemi)
B73;Leukemi akutt INA
B73;Leukemi kronisk INA
B73;Leukemi lymfatisk akutt
B73;Leukemi myelogen akutt
B73;Leukemi myelogen kronisk (KML)
B73;Lymfatisk leukemi INA
B73;Monocyttleukemi
B73;Ondartet svulst leukemisk INA
